"country","year","level","mean_ratio"
"High income countries",2016,"Pre-Primary Education",14.40181
"High income countries",2017,"Pre-Primary Education",14.39603
"Low income countries",2012,"Primary Education",41.27404
"Low income countries",2013,"Primary Education",41.12389
"Low income countries",2014,"Primary Education",40.54516
"Low income countries",2015,"Primary Education",39.79081
"Low income countries",2016,"Primary Education",39.50265
"Low income countries",2017,"Primary Education",39.46101
"Lower middle income countries",2012,"Primary Education",30.93166
"Lower middle income countries",2013,"Primary Education",28.58972
"Lower middle income countries",2014,"Primary Education",28.28275
"Lower middle income countries",2015,"Primary Education",27.83073
"Lower middle income countries",2016,"Primary Education",28.70438
"Lower middle income countries",2017,"Primary Education",29.25579
"Upper middle income countries",2012,"Primary Education",18.70176
"Upper middle income countries",2013,"Primary Education",18.7663
"Upper middle income countries",2014,"Primary Education",18.32942
"Upper middle income countries",2015,"Primary Education",18.33116
"Upper middle income countries",2016,"Primary Education",18.50776
"Upper middle income countries",2017,"Primary Education",18.52874
"High income countries",2012,"Primary Education",14.32286
"High income countries",2013,"Primary Education",14.28799
"High income countries",2014,"Primary Education",14.30394
"High income countries",2015,"Primary Education",14.22281
"High income countries",2016,"Primary Education",14.15295
"High income countries",2017,"Primary Education",14.15035
"Low income countries",2012,"Secondary Education",22.51641
"Low income countries",2013,"Secondary Education",22.07605
"Low income countries",2014,"Secondary Education",22.53944
"Low income countries",2015,"Secondary Education",21.78917
"Low income countries",2016,"Secondary Education",21.89259
"Low income countries",2017,"Secondary Education",21.7278
"Lower middle income countries",2012,"Secondary Education",22.24781
"Lower middle income countries",2013,"Secondary Education",23.36073
"Lower middle income countries",2014,"Secondary Education",23.66007
"Lower middle income countries",2015,"Secondary Education",23.36985
"Lower middle income countries",2016,"Secondary Education",22.46449
"Lower middle income countries",2017,"Secondary Education",22.57572
"Upper middle income countries",2012,"Secondary Education",14.93629
"Upper middle income countries",2013,"Secondary Education",15.44616
"Upper middle income countries",2014,"Secondary Education",14.95229
"Upper middle income countries",2015,"Secondary Education",14.63429
"Upper middle income countries",2016,"Secondary Education",14.42642
"Upper middle income countries",2017,"Secondary Education",14.23915
"High income countries",2012,"Secondary Education",12.68044
"High income countries",2013,"Secondary Education",12.8369
"High income countries",2014,"Secondary Education",12.83643
"High income countries",2015,"Secondary Education",12.74062
"High income countries",2016,"Secondary Education",12.79645
"High income countries",2017,"Secondary Education",12.79804
"Low income countries",2012,"Upper Secondary Education",17.32325
"Low income countries",2013,"Upper Secondary Education",17.29064
"Low income countries",2014,"Upper Secondary Education",17.52675
"Low income countries",2015,"Upper Secondary Education",17.01059
"Low income countries",2016,"Upper Secondary Education",16.65269
"Low income countries",2017,"Upper Secondary Education",NA
"Lower middle income countries",2012,"Upper Secondary Education",20.43516
"Lower middle income countries",2013,"Upper Secondary Education",25.19195
"Lower middle income countries",2014,"Upper Secondary Education",25.73215
"Lower middle income countries",2015,"Upper Secondary Education",25.18046
"Lower middle income countries",2016,"Upper Secondary Education",24.50444
"Lower middle income countries",2017,"Upper Secondary Education",24.68923
"Upper middle income countries",2012,"Upper Secondary Education",15.36976
"Upper middle income countries",2013,"Upper Secondary Education",16.70524
"Upper middle income countries",2014,"Upper Secondary Education",16.06075
"Upper middle income countries",2015,"Upper Secondary Education",15.5584
"Upper middle income countries",2016,"Upper Secondary Education",15.25393
"Upper middle income countries",2017,"Upper Secondary Education",14.97221
"High income countries",2012,"Upper Secondary Education",12.19079
"High income countries",2013,"Upper Secondary Education",12.45058
"High income countries",2014,"Upper Secondary Education",12.53468
"High income countries",2015,"Upper Secondary Education",12.44337
"High income countries",2016,"Upper Secondary Education",12.50446
"High income countries",2017,"Upper Secondary Education",12.4964
